Travel and Transport Pre-Covid Daily Time Spent (Minutes),Travel and Transport During-Covid Daily Time Spent (Minutes),Travel and Transport Pre-Covid Response,Travel and Transport During-Covid Response,Work from Home Pre-Covid Daily Time Spent (Minutes),Work from Home During-Covid Daily Time Spent (Minutes),Work from Home Pre-Covid Response,Work from Home During-Covid Response,Keeping Fit Pre-Covid Daily Time Spent (Minutes),Keeping Fit During-Covid Daily Time Spent (Minutes),Keeping Fit Pre-Covid Response,Keeping Fit During-Covid Response,Gardening/DIY Pre-Covid Daily Time Spent (Minutes),Gardening/DIY During-Covid Daily Time Spent (Minutes),Gardening/DIY Pre-Covid Response,Gardening/DIY During-Covid Response,Sleep/Rest Pre-Covid Daily Time Spent (Minutes),Sleep/Rest During-Covid Daily Time Spent (Minutes),Sleep/Rest Pre-Covid Response,Sleep/Rest During-Covid Response,Entertainment/Socializing Pre-Covid Daily Time Spent (Minutes),Entertainment/Socializing During-Covid Daily Time Spent (Minutes),Entertainment/Socializing Pre-Covid Response,Entertainment/Socializing During-Covid Response
18,120,"Travel sucked before the pandemic, it took so long.",I loved not having to travel,0,360,"I did not work from home.",I loved working from home and being comfortable.,90,120,I hardly ever worked out before.,I pushed myself and became better with activity.,10,60,I never did before.,I started to enjoy gardening and liked it more.,480,650,I slept the average amount before.,I let myself go and slept so much during the pandemic,200,240,I socialized with friends and colleagues at work.,I spent much more quality time with my family.
45,20,I enjoyed travelling and transportation before COVID since I was able to have fun while walking with friends without a mask.,"I did not like transportation during COVID since we had to wear masks. Also I did not enjoy having to spend more time walking to different locations since public transport is dangerous.",60,480,"I enjoyed working from home since I did not have to work too much, so my home felt like a relaxing space where I was able to enjoy myself. ",It sucked to work at home during COVID because it worsened my home condition since I could not relax at my home. It was considerably worse than before. ,60,120,"Before the onset of COVID, it was really fun to exercise since I was able to play basketball daily very nicely. Additionally, it was very cheerful since there was no need for any constraints in what we could do. ","During the pandemic, while I was able to spend more time exercising, I was not able to engage in my favorite group activities since there were many COVID restrictions. ",15,90,"I was not interested in DIY before the onset of the pandemic, I spent very little time doing this. ",One of my favorite results of the pandemic was the fact that I found a passion for DIY and gardening where I learned how to positively impact my home and improve and home my gardening skills. ,480,600,Sleeping was enjoyable before the pandemic but I was not able to sleep for too long which was bad.,"After the pandemic, I enjoyed a lot more time to sleep which greatly improved my quality and quantity of sleep.",90,200,"Socializing was great before the pandemic because I was excited to spent time with my friends and was enthusiastic when we were able to play activities in person. ","Socializing was worse after the pandemic because it was boring since we could only interact online. It was a bit depressing because even while we were talking online, we felt alone and felt like outcasts."
120,0,I hated my commute so much,I loved not having to travel,20,360,I never really worked from home before,"I loved working from home so much it was amazing and relaxing",120,180,I loved working out before,During the pandemic I developed a real passion for working out which was so much stronger than ever before and I loved it so much!,0,45,I never really gardened,I got slightly interested in gardening but it was not the best,420,660,I slept a good amount of time before the pandemic,I slept so much after the pandemic and got so lazy!,180,300,I socialized with friends a decent amount before,During and after the pandemic I almost doubled my amount of socializing.
120,0,"I absolutely hated traveling to and from work everyday, it was horrible",With the time of travel gone I was more relaxed and comfortable in my own house,0,360,I never got the chance to work from before the pandemic,I loved the comfort and awesomeness of working from home,60,180,I was not really involved before,I became slightly interested in working out and pushed myself.,0,20,I never gardened,I started gardening a bit but it wasnt really my forte,360,600,I slept an average amount before the pandemic,I slept more and became quite lazy,120,20,I was open to speaking with friends and having fun,"After the pandemic, everything became secluded and depressing. I felt alone and cut off from the world."
120,20,I had a very long and boring commute before,I had a much smaller commute and it was nicer,20,300,I did not really work from home before,I loved the comfort of working from home,30,120,It was something I never really did,I tried it and it was hard for me to catch on,0,0,I never liked it ,Still never tried and never developed interests,120,300,I rested when I was free only,I rested much more and had so much more time to sleep,120,20,I socialized enough with friends,I was stuck with only my parents and direct family
60,15,"I found it enjoyable, whether it was by myself or with others, but thought nothing special of it.","I found it limited, but enjoyable when I could travel. It was nice to get a breath of fresh air and clear my head by leaving my house.",240,480,"In fact I even liked being at home while working, since it was relaxing and quiet, I could listen to music and fully settle in to my work.",I found myself feeling trapped and without motivation to work. It was hard to maintain my work ethic when spending so much time in an environment meant for rest.,45,10,"I found it refreshing and fun to play soccer, as well as just do casual exercise at home.","I still found it enjoyable to do physical activities, but I also found it harder to find the motivation to do so. It lost its appeal a bit.",0,0,I did not care for gardening/DIY and never found myself longing to partake in such activities.,"I still didn't participate at all in DIY/gardening, but I did at least become slightly more interested, although never enough to actually do anything.",420,540,"I really enjoyed resting, but also felt like it was wasting precious time, and I was also busy enough that I didn't get to rest that much.","With so much time on my hands, as well as a crumbling work ethic, I found myself resting a lot more, and while feeling refreshed, it also felt like I was losing a lot of time.",60,15,"I enjoyed socializing and took it for granted. I often got to talk with friends at school, as well as outside of class on weekends, and enjoyed spending time with them.","I missed socializing, and found that there were little to no opportunities to talk to others, aside from online. When partaking in socializing, I found myself wishing that it wasn't online and that it wasn't restricted to only certain kinds of activities."
60,13,Very comfortable and ease of travel,"Very limited, difficult to commute",10,180,"Very limited, did not often worked",increased activity ,143,55,I get to enjoy the nature and working in clean environment. ,I did not enjoy working out at home. It was wasn't worth to do.,30,83,I used to not enjoy the work and usually did it because it was needed.,"I found my interest in gardening, and enjoyment in the doing all the DIY work. ",386,466,Did not get sufficient amount of sleep. Mostly I was struggling and limited amount of sleep.,I enjoyed very much. I slept comfortably and relaxed. ,145,186,It was nice but very limited.,I had a pleasant time socializing with my friends. I was a joyful experience. 
57,18,It was relaxed experience without any difficulty. ,It sucked and was most of time tiring.,9,124,It was usually limited. But it was quite a experience.,I did not enjoy this. It was difficult and frustrating. ,101,83,I had fun it was a lively experience. ,"This experience was usually difficult, but it was also helpful in maintaining my health.",23,92,"It was boring task, and I did not find it entertaining. Just did it for the sake of it.","It was delightful experience, as I spend more time doing it the more I found it more engaging.",367,596,"It was a relaxing experience, however there were certain times when I found it challenging to complete the task.",I spend huge amount of time sleeping in my leisure time. I was delighted to do it and it was worth it.,117,217,I usually did not go prefer socializing so I did not spend much time doing it. So it was limited. ,"It was fun and engaging activity, I usually participated this to be more relaxed. "
51,20,"I did not usually travel, but I did not face any obstacles while doing this activity.",It was so difficulty. I spend all day going through all the test by which I got tired. I would prefer to do something else.,6,120,I was a nice experience. It was a new experience for me. ,"It was an engaging task, I found it entertaining and interesting task to do. ",129,59,It was worth-it experience. I usually found it relaxing as it helped me to make my body fit. I was also passionate about it. ,"It was very frustrating experience, I did not find it interesting at all. But for few occasions it was fine. I wanted to go out more. ",26,43,It was a boring and tedious task. I would not prefer to do something like this again. ,"I found my interest and passion in this activity. It was entertaining, worth-it while being engaging. ",346,586,It sucked. Most of time I wasn't able to sleep because of all the work I had. It frustrated me. ,It was pleasing and nice. I really enjoyed the task and found it engaging. It was also fun and worth-it.,139,150,It was very difficult to socialize because of all the work I had. I was mostly tired.,"I was really entertaining, relaxed and joyful experience. I found it engaging also."
72,6,"I did enjoy travelling, and it was very convenient to go anywhere I wanted to go. So it was joyful.","It was very frustrating as I couldn't travel anywhere. Furthermore, I also furious most of time because of the restrictions that was imposed. ",6,103,It was very limited but usually it was fun to explore other things.,"It was very tiring, and boring. I also couldn't understand many things which increased my frustration. ",105,106,"Before pandemic, I enjoyed participating in activities it gave me pleasure and increase my enthusiasm. ",I also enjoyed taking part in the activities after pandemic. It made me feel relaxed while I also engaged in the activities.,23,32,"This task was the most frustrating, and I usually did it because it was needed. I would preferred to do something else. ","I found my new passion in this activity, I really enjoyed it while it was very pleasing. ",387,546,It was nice.,It was relaxing and made my day.,117,183,"I was spend some amount of time with my family and played games but it was mostly limited, I wanted to have more fun.",I really enjoyed playing video games. It was relaxing and entertaining.
